loan_id,borrower_id,sector_nace,loan_type,currency,outstanding_idr,total_equity_idr,total_debt_idr,pcaf_attribution_factor,borrower_emissions_tco2e,pcaf_data_quality_score,record_status,reporting_year
LN-2023-0000001,BOR-000001,energy_oil_gas,leasing,IDR,2000000000000,3190152000000,1897172000000,0.393134,445101.12,4.0,validated,2023
LN-2024-0000001,BOR-000001,energy_oil_gas,leasing,IDR,157663000000,3240511000000,1735760000000,0.031683,432525.12,3.0,validated,2024
LN-2023-0000002,BOR-000002,transportation_road,project_finance,IDR,162899000000,19978972000000,50000000000000,0.002328,96083.61,4.0,validated,2023
LN-2024-0000002,BOR-000002,transportation_road,project_finance,IDR,114126000000,19256048000000,50000000000000,0.001648,93778.78,4.0,validated,2024
LN-2023-0000003,BOR-000003,real_estate_residential,mortgage,IDR,1403806000000,4337975000000,498109000000,0.290277,5011.4,5.0,validated,2023
LN-2024-0000003,BOR-000003,real_estate_residential,mortgage,IDR,124546000000,4435385000000,571027000000,0.024877,4948.92,5.0,validated,2024
LN-2023-0000004,BOR-000004,transportation_road,revolving_credit,IDR,2000000000000,13922162000000,356100000000,0.140073,100789.22,3.0,validated,2023
LN-2024-0000004,BOR-000004,transportation_road,revolving_credit,IDR,2000000000000,14985138000000,327897000000,0.130608,102732.32,3.0,validated,2024
LN-2023-0000005,BOR-000005,manufacturing_food,term_loan,IDR,1678176000000,3507580000000,6127873000000,0.174167,155378.22,5.0,validated,2023
LN-2024-0000005,BOR-000005,manufacturing_food,term_loan,IDR,1419350000000,3499916000000,6575162000000,0.140877,154146.04,5.0,validated,2024
LN-2023-0000006,BOR-000006,real_estate_commercial,project_finance,USD,142486000000,8041037000000,4584373000000,0.011286,8826.28,3.0,validated,2023
LN-2024-0000006,BOR-000006,real_estate_commercial,project_finance,USD,996666000000,7929495000000,4519568000000,0.08006,8708.95,2.0,validated,2024
LN-2023-0000007,BOR-000007,manufacturing_steel,syndicated_loan,IDR,2000000000000,6281059000000,1759200000000,0.248748,346752.26,4.0,validated,2023
LN-2024-0000007,BOR-000007,manufacturing_steel,syndicated_loan,IDR,409353000000,6286088000000,1826212000000,0.050461,345091.9,4.0,rejected,2024
LN-2023-0000008,BOR-000008,retail_trade,leasing,USD,2000000000000,10069529000000,2099147000000,0.164356,4214.45,4.0,validated,2023
LN-2024-0000008,BOR-000008,retail_trade,leasing,USD,179178000000,10473366000000,2343626000000,0.01398,4416.14,4.0,validated,2024
LN-2023-0000009,BOR-000009,real_estate_residential,leasing,IDR,218426000000,7534569000000,797633000000,0.026215,4010.07,4.0,validated,2023
LN-2024-0000009,BOR-000009,real_estate_residential,leasing,IDR,171287000000,7958800000000,885222000000,0.019368,3775.77,4.0,validated,2024
LN-2023-0000010,BOR-000010,agriculture,project_finance,IDR,635123000000,30899369000000,7593109000000,0.0165,13362.5,5.0,validated,2023
LN-2024-0000010,BOR-000010,agriculture,project_finance,IDR,150433000000,30916671000000,8594596000000,0.003807,13597.58,5.0,validated,2024
LN-2023-0000011,BOR-000011,energy_oil_gas,term_loan,USD,643242000000,7085128000000,1307305000000,0.076645,312766.73,3.0,validated,2023
LN-2024-0000011,BOR-000011,energy_oil_gas,term_loan,USD,148158000000,7721301000000,1366845000000,0.016302,296125.17,3.0,validated,2024
LN-2023-0000012,BOR-000012,manufacturing_cement,revolving_credit,IDR,128242000000,50000000000000,3341584000000,0.002404,537351.75,4.0,validated,2023
LN-2024-0000012,BOR-000012,manufacturing_cement,revolving_credit,IDR,643699000000,50000000000000,3048441000000,0.012134,549710.25,4.0,validated,2024
LN-2023-0000013,BOR-000013,real_estate_residential,syndicated_loan,IDR,115298000000,6060364000000,29299028000000,0.003261,3222.96,3.0,pending,2023
LN-2024-0000013,BOR-000013,real_estate_residential,syndicated_loan,IDR,25390000000,6592219000000,27037848000000,0.000755,3159.39,3.0,validated,2024
LN-2023-0000014,BOR-000014,real_estate_commercial,syndicated_loan,IDR,789003000000,10287650000000,3808592000000,0.055973,7719.61,4.0,validated,2023
LN-2024-0000014,BOR-000014,real_estate_commercial,syndicated_loan,IDR,493001000000,9923012000000,3867539000000,0.035749,8068.46,3.0,validated,2024
LN-2023-0000015,BOR-000015,financial_services,term_loan,USD,2000000000000,4910310000000,11008785000000,0.125635,2267.65,3.0,validated,2023
LN-2024-0000015,BOR-000015,financial_services,term_loan,USD,193897000000,5034593000000,10093538000000,0.012817,2378.98,3.0,validated,2024
LN-2023-0000016,BOR-000016,manufacturing_steel,term_loan,IDR,818454000000,2041849000000,1861216000000,0.209695,132669.47,4.0,validated,2023
LN-2024-0000016,BOR-000016,manufacturing_steel,term_loan,IDR,90478000000,2133340000000,1687284000000,0.023681,137364.26,4.0,validated,2024
LN-2023-0000017,BOR-000017,manufacturing_steel,revolving_credit,USD,373566000000,15989383000000,12288495000000,0.013211,685238.02,5.0,validated,2023
LN-2024-0000017,BOR-000017,manufacturing_steel,revolving_credit,USD,447069000000,15487131000000,12892128000000,0.015753,631879.23,5.0,validated,2024
LN-2023-0000018,BOR-000018,real_estate_commercial,mortgage,IDR,617230000000,8733751000000,50000000000000,0.010509,30042.75,3.0,pending,2023
LN-2024-0000018,BOR-000018,real_estate_commercial,mortgage,IDR,1415806000000,9025504000000,50000000000000,0.023986,27653.13,2.0,validated,2024
LN-2023-0000019,BOR-000019,retail_trade,mortgage,USD,766253000000,1249470000000,964028000000,0.346173,14876.27,5.0,validated,2023
LN-2024-0000019,BOR-000019,retail_trade,mortgage,USD,338995000000,1256209000000,926002000000,0.155345,15499.54,5.0,validated,2024
LN-2023-0000020,BOR-000020,real_estate_commercial,syndicated_loan,USD,242648000000,23139047000000,2254758000000,0.009555,4147.61,3.0,validated,2023
LN-2024-0000020,BOR-000020,real_estate_commercial,syndicated_loan,USD,308833000000,22486284000000,2081246000000,0.012571,4140.9,3.0,validated,2024
LN-2023-0000021,BOR-000021,transportation_road,mortgage,IDR,134047000000,20061432000000,1341058000000,0.006263,135868.93,3.0,validated,2023
LN-2024-0000021,BOR-000021,transportation_road,mortgage,IDR,1104044000000,19758563000000,1457293000000,0.052039,138737.12,3.0,validated,2024
LN-2023-0000022,BOR-000022,financial_services,project_finance,IDR,1187563000000,5530881000000,1910362000000,0.159592,1530.51,5.0,validated,2023
LN-2024-0000022,BOR-000022,financial_services,project_finance,IDR,2000000000000,5326854000000,1884952000000,0.277323,1595.97,5.0,validated,2024
LN-2023-0000023,BOR-000023,real_estate_commercial,revolving_credit,IDR,263637000000,2374632000000,2358675000000,0.055698,15197.94,3.0,validated,2023
LN-2024-0000023,BOR-000023,real_estate_commercial,revolving_credit,IDR,915299000000,2507771000000,2408142000000,0.186191,14859.77,3.0,validated,2024
LN-2023-0000024,BOR-000024,real_estate_commercial,revolving_credit,USD,217439000000,8344898000000,956011000000,0.023378,14739.48,2.0,rejected,2023
LN-2024-0000024,BOR-000024,real_estate_commercial,revolving_credit,USD,2000000000000,9163555000000,958081000000,0.197597,14817.15,2.0,validated,2024
LN-2023-0000025,BOR-000025,real_estate_commercial,leasing,IDR,277173000000,7857300000000,3152583000000,0.025175,3759.91,3.0,validated,2023
LN-2024-0000025,BOR-000025,real_estate_commercial,leasing,IDR,662360000000,8487826000000,3058381000000,0.057366,3469.18,2.0,validated,2024
LN-2023-0000026,BOR-000026,manufacturing_steel,leasing,IDR,455940000000,1180311000000,3350538000000,0.10063,757658.84,4.0,validated,2023
LN-2024-0000026,BOR-000026,manufacturing_steel,leasing,IDR,1658044000000,1217407000000,3734943000000,0.334799,761280.45,4.0,validated,2024
LN-2023-0000027,BOR-000027,financial_services,revolving_credit,IDR,110316000000,8548102000000,4152719000000,0.008686,7285.51,4.0,validated,2023
